Outcome	Time	Var0	Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19
0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0
0	5	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1
0	5	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	2	1	0	2	0
0	5	1	0	0	0	0	2	0	0	1	1	2	0	2	0	1	0	0	0	0	1
0	5	1	1	0	0	1	1	0	0	1	0	1	1	0	1	0	1	2	0	0	0
0	1	0	0	1	0	0	0	0	1	0	2	0	2	2	0	0	1	0	1	0	1
0	5	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	1	1	1	0	1
0	5	1	1	0	0	0	0	0	0	1	0	1	1	1	0	2	1	0	0	0	0
0	1	0	0	1	0	0	1	0	1	1	0	1	0	2	0	1	1	1	0	1	1
0	4	0	0	0	0	0	0	2	0	2	0	1	2	2	0	1	1	0	1	0	2
0	5	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	2	0	0	0	1
0	2	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1
0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1
0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	2
0	2	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	2	1	0	0	0
0	5	1	1	0	1	0	2	1	2	1	1	0	1	1	0	1	1	2	0	1	1
0	5	0	0	0	1	0	0	2	0	1	1	1	1	0	0	0	0	0	0	0	1
0	2	2	0	1	1	0	0	0	0	2	1	1	1	1	0	0	2	1	1	0	0
0	5	0	1	0	0	0	0	0	2	1	1	1	0	1	1	0	1	0	0	1	1
0	2	0	0	0	0	0	0	1	2	0	0	0	1	2	0	0	2	0	2	0	0
0	5	1	1	0	0	0	0	0	1	0	1	0	2	2	0	1	1	1	0	0	2
0	3	0	0	1	0	0	1	0	1	0	0	2	1	0	1	0	0	1	0	1	1
0	5	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	0	1
0	2	1	0	0	0	0	2	0	0	2	0	1	2	0	0	0	0	2	0	0	1
0	1	1	1	1	0	0	0	0	0	1	0	1	2	1	1	2	1	0	0	1	0
0	5	1	1	1	0	0	1	1	1	1	0	2	2	1	1	1	1	1	0	0	2
0	5	0	0	0	0	0	1	1	0	1	1	2	1	1	1	1	0	0	0	1	1
0	5	0	0	1	0	0	1	0	0	2	0	1	0	0	0	1	0	1	0	0	2
0	5	0	0	1	0	1	0	1	0	1	0	2	1	1	0	2	1	1	0	0	1
0	5	0	0	1	0	0	0	0	1	0	1	2	2	1	1	1	2	0	0	0	1
0	5	0	1	1	0	0	0	1	0	1	2	0	0	0	1	1	1	1	1	0	1
0	5	1	1	0	0	0	0	1	0	0	0	2	0	1	1	1	2	1	0	0	2
0	5	1	2	0	0	1	0	1	1	1	0	1	1	2	0	0	1	0	0	1	1
0	5	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	2
0	4	2	1	1	0	0	1	0	0	1	0	0	1	2	0	0	0	1	1	0	0
0	5	0	0	0	0	0	1	0	1	2	0	2	1	0	1	0	1	0	0	1	0
0	3	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	1
0	3	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	1	0	0	1
0	5	0	0	0	0	0	0	1	1	1	2	2	1	2	0	1	1	0	0	2	1
0	5	1	0	0	0	0	1	0	0	2	2	2	2	2	1	1	2	1	0	1	1
0	5	0	0	0	0	0	2	0	1	0	0	2	2	1	1	1	2	0	0	0	1
0	5	0	0	1	1	0	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0
0	3	2	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	2
0	3	0	0	1	0	0	2	0	1	0	0	0	2	1	0	2	1	0	0	1	1
0	5	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0
0	3	1	0	0	1	0	2	0	0	2	0	1	1	1	0	2	1	0	0	0	2
0	5	1	0	1	0	0	1	0	0	1	0	0	1	2	0	0	1	1	2	0	2
0	5	0	1	0	0	0	0	1	0	0	1	2	1	2	0	0	1	0	0	1	1
0	5	0	1	2	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0
0	5	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1
0	5	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	1
0	5	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	1
0	5	1	1	0	0	0	0	0	0	2	0	2	0	1	0	1	1	1	0	0	1
0	2	2	1	0	0	0	1	0	0	1	0	0	2	2	0	1	2	2	0	0	2
0	5	1	1	1	0	1	2	1	1	2	0	1	1	1	1	1	1	0	0	1	1
0	5	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	2	0	1	0
0	1	0	1	0	0	1	2	0	0	1	1	1	2	1	1	0	1	0	0	1	2
0	1	0	1	0	0	0	0	1	0	1	0	2	1	0	0	0	1	1	0	1	1
0	5	1	1	0	0	0	1	0	0	1	0	2	1	0	0	0	0	1	0	1	0
0	5	0	0	0	0	0	1	0	1	1	1	2	1	0	0	0	1	1	0	1	1
0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0
0	1	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	2	1	0	1	1
0	5	0	1	0	0	0	0	0	1	2	1	2	1	1	0	1	1	1	0	0	1
0	5	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	2	0	0	0	2
0	2	0	0	0	0	0	0	1	1	2	0	0	0	2	0	2	1	1	0	1	2
0	5	1	0	1	0	1	0	0	0	2	0	2	2	2	0	0	2	0	0	0	1
0	2	0	1	0	0	0	1	0	0	1	0	2	1	1	0	1	1	1	0	0	2
0	2	1	0	1	0	0	0	0	0	0	0	1	2	2	2	2	1	1	0	0	0
0	5	0	1	1	0	0	2	1	0	2	0	1	1	1	0	1	2	1	0	1	1
0	5	0	1	0	0	0	1	1	0	1	0	0	2	0	1	0	2	1	0	0	2
0	5	1	0	0	0	0	1	0	0	1	0	2	1	1	0	1	2	0	0	0	2
